       0.0    1.00000
       1.0    0.92474
       2.0    0.79269
       3.0    0.61875
       4.0    0.45037
       5.0    0.32094
       6.0    0.24057
       7.0    0.19924
       8.0    0.17794
       9.0    0.16040
      10.0    0.13918
      11.0    0.11505
      12.0    0.09223
      13.0    0.07390
      14.0    0.06054
      15.0    0.05067
      16.0    0.04256
      17.0    0.03534
      18.0    0.02893
      19.0    0.02355
      20.0    0.01928
      21.0    0.01598
      22.0    0.01343
      23.0    0.01147
      24.0    0.00999
      25.0    0.00890
      26.0    0.00809
      27.0    0.00748
      28.0    0.00700
      29.0    0.00662
      30.0    0.00631
      31.0    0.00603
      32.0    0.00574
      33.0    0.00542
      34.0    0.00506
      35.0    0.00470
      36.0    0.00435
      37.0    0.00403
      38.0    0.00374
      39.0    0.00347
      40.0    0.00320
      41.0    0.00294
      42.0    0.00269
      43.0    0.00247
      44.0    0.00228
      45.0    0.00212
      46.0    0.00198
      47.0    0.00186
      48.0    0.00176
      49.0    0.00168
      50.0    0.00161
      51.0    0.00155
      52.0    0.00150
      53.0    0.00145
      54.0    0.00141
      55.0    0.00137
      56.0    0.00133
      57.0    0.00129
      58.0    0.00124
      59.0    0.00120
      60.0    0.00115
      61.0    0.00110
      62.0    0.00106
      63.0    0.00101
      64.0    0.00097
      65.0    0.00093
      66.0    0.00089
      67.0    0.00085
      68.0    0.00082
      69.0    0.00078
      70.0    0.00075
      71.0    0.00072
      72.0    0.00069
      73.0    0.00066
      74.0    0.00063
      75.0    0.00060
      76.0    0.00057
      77.0    0.00054
      78.0    0.00051
      79.0    0.00048
      80.0    0.00046
      81.0    0.00043
      82.0    0.00041
      83.0    0.00039
      84.0    0.00036
      85.0    0.00034
      86.0    0.00032
      87.0    0.00030
      88.0    0.00029
      89.0    0.00027
      90.0    0.00026
      91.0    0.00025
      92.0    0.00024
      93.0    0.00023
      94.0    0.00022
      95.0    0.00021
      96.0    0.00020
      97.0    0.00019
      98.0    0.00018
      99.0    0.00014
     100.0    0.00010
     102.0    0.00000
     104.7    0.00000
     110.4    0.00000
     124.1    0.00000
     159.6    0.00000
     254.4    0.00000
     510.4    0.00000
    1204.6    0.00000
    3090.0    0.00000
    8213.1    0.00000
